,Name,City,INN,reliable,dobro_mail,need_help,https,legal_fee
0,"Благотворительный фонд социальной поддержки населения ""Вместе""",Благовещенск РБ,1,1,1,1,0,1
1,Благотворительный фонд помощи тяжело больным детям «Особенные дети»,Уфа,1,1,1,1,0,1
2,"Автономная некоммерческая медицинская организация ""Уфимский хоспис""",Уфа,1,1,1,1,0,1
3,"Детский Благотворительный Фонд ""С Любовью""",Уфа,1,1,1,1,1,1
4,"Благотворительный фонд помощи тяжелобольным детям ""Потерь нет""",Уфа,1,1,1,1,0,1
5,"Благотворительный Фонд экологического просвещения, социальной поддержки населения, развития народных ремесел и декоративно-прикладного творчества ""Твердая почва""","г. Уфа , Республика Башкортостан",1,1,1,1,0,1
6,"Благотворительный фонд ""Благо Дари""",Гатчина,1,1,1,1,1,1
7,"Благотворительный фонд ""Надежда""","Москва, Махачкала, Лондон",1,1,1,1,0,1
8,"Благотворительный фонд содействия образовательным, культурным и социальным проектам ""Село""",Москва,1,1,1,1,0,1
9,"Некоммерческая организация благотворительный фонд ""Мял""",Магас,1,1,1,1,0,1
10,"Карельская региональная общественная организация защиты животных ""Первый приют""",Петрозаводск,1,1,1,1,0,1
11,"Карельская региональная общественная организация помощи лицам, страдающим психическими расстройствами, их родственников и специалистов, работающих в сфере психического здоровья ""Преодоление""",Кондопога,1,1,1,1,0,1
12,Фонд «Друзья»,Москва,1,1,1,1,0,1
13,Добрая Марий Эл,Йошкар-Ола,1,1,1,1,0,1
14,"Автономная некоммерческая организация гражданско-патриотического развития молодежи ""Подвиги""",Саранск,1,1,1,1,0,1
15,"РОД ""Ресурсный центр социальных технологий Республики Саха (Якутия)""",Якутск,1,1,1,1,0,1
16,"Автономная некоммерческая организация ""Центр содействия реализации социально-культурных и благотворительных проектов ""Филантроп""",Казань,1,1,1,1,0,1
17,"АНО ""Центр организации спортивно-массовых мероприятий ""СПОРТ БУДУЩЕГО""",Казань,1,1,1,1,0,1
18,Фонд Светланы Изамбаевой,Казань,1,1,1,1,0,1
19,"Благотворительный фонд ""Подари ЗАВТРА!""",Ижевск,1,1,1,1,0,1
20,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИЛЬНЫЕ ДЕТИ""",Чебоксары,1,0,1,1,0,0
21,"Чувашская региональная общественная организация содействия в решении социальных проблем семьи и человека ""МИР ДОБРА""",Чебоксары,1,1,1,1,0,1
22,"ФОНД ПОМОЩИ МНОГОДЕТНЫМ И МАЛОИМУЩИМ СЕМЬЯМ, ДЕТЯМ-СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ И ЛЮДЯМ, ПОПАВШИМ В СЛОЖНУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ОБЛАКА""",Барнаул,1,1,1,1,0,1
23,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""АУРЕЯ""",УЯР,1,0,1,1,0,0
24,Красноярский Региональный Фонд «Красноярье без сирот»,Красноярск,1,1,1,1,0,1
25,"Автономная некоммерческая организация ""Центр социально-психологической реабилитации онкологических больных и лиц групп риска ""ВМЕСТЕ ПРОТИВ РАКА""",Красноярск,1,1,1,1,0,1
26,"Детский благотворительный фонд ""Счастливые дети""",Красноярск,1,1,1,1,1,1
27,"Благотворительный фонд помощи детям ""Ренессанс""",Владивосток,1,1,1,1,0,1
28,"Хабаровская краевая общественная организация замещающих семей ""Чужих детей не бывает""",Хабаровск,1,1,1,1,0,1
29,"Некоммерческий благотворительный фонд помощи нуждающимся ""Взамен""",Архангельск,1,1,1,1,0,1
30,"Автономная некоммерческая организация Центр социальной помощи ""Смысл есть""","Мирный, Архангельская область",1,1,1,1,0,1
31,"Благотворительный фонд ""Стрелиция""",Юрьев-Польский,1,1,1,1,0,1
32,"Автономная некоммерческая организация популяризации благотворительных проектов ""ЗаСпасибо""",Владимир,1,1,1,1,0,1
33,"БФ ""Близкие люди""",Владимир,1,1,1,1,0,1
34,Благотворительный фонд Елены Исинбаевой,Волгоград,1,1,1,1,0,1
35,"Благотворительный фонд развития социально значимых инициатив ""Доброта на Волге""",Волгоград,1,1,1,1,0,1
36,Благотворительный Фонд «Хорошие люди»,Вологда,1,1,1,1,0,1
37,"Благотворительный фонд помощи детям ""Благо""",Воронеж,1,1,1,1,0,1
38,"Иркутский областной общественный благотворительный фонд ""Семья Прибайкалья""",Иркутск,1,1,1,1,0,1
39,"Ассоциация ""Защитим Байкал вместе""",Иркутск,1,1,1,1,0,1
40,"Иркутская Региональная Экологическая Общественная Организация ""Мой Байкал""",Иркутск,1,1,1,1,0,1
41,"Фонд поддержки людей с ограниченными возможностями ""Лабиринт 42""",Кемерово,1,1,1,1,0,1
42,"Благотворительный фонд социальной поддержки и защиты детей, граждан и организаций в области медицины, образования, здорового образа жизни, а также попавших в трудную жизненную ситуацию «Счастье детям»",Кемерово,1,1,1,1,0,1
43,"Костромской областной благотворительный фонд помощи детям и взрослым с особенностями развития (преимущественно с аутизмом) ""Открыть Мир""",Кострома,1,1,1,1,0,1
44,"Благотворительный Фонд ""География Добра""",Кострома,1,1,1,1,1,1
45,Автономная некоммерческая организация ««Центр систематизации материальных и духовных знаний «Наше Поветлужье»,Шарья Костромская область,1,1,1,1,0,1
46,"Благотворительный Фонд ""Искорка надежды""",Курск,1,1,1,1,1,1
47,"ФОНД ПОМОЩИ ДЕТЯМ И ЛЮДЯМ, ПОПАВШИМ В ТЯЖЕЛУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ДОБРЫЙ ВЕТЕРОК""",Дмитров,1,0,1,1,0,0
48,Благотворительный фонд «Гольфстрим»,Москва,1,1,1,1,0,1
49,"Межрегиональная благотворительная общественная организация ""Кожные и аллергические болезни""",Москва,1,1,1,1,0,1
50,Межрегиональная общественная организация содействия помощи пациентам с нейрофиброматозом «22/17»,Москва,1,1,1,1,0,1
51,"Благотворительный Фонд помощи животным ""Сень Сотен Крыльев""",Павловский Посад,1,1,1,1,0,1
52,"Благотворительный фонд помощи животным ""Хвостатый рай""",Протвино,1,1,1,1,0,1
53,"Детский реабилитационный центр ""Вдохновение""",Руза,1,1,1,1,0,1
54,"Автономная некоммерческая организация ""Центр Проектного Развития""",Городец,1,1,1,1,0,1
55,"Нижегородская региональная общественная организация содействия социальному развитию ""Служение-НЭКСТ""",Нижний Новгород,1,1,1,1,0,1
56,"Автономная некоммерческая организация центр социальной помощи престарелым и инвалидам ""Дом Милосердия""",Новосибирск,1,1,1,1,0,1
57,"Благотворительный фонд ""Сохраняя жизнь""",Оренбург,1,1,1,1,0,1
58,"Автономная некоммерческая организация ""Диаконический Центр ""Прикосновение""",Оренбург,1,1,1,1,1,1
59,"АНО ""Платформа образовательных проектов""",Пермь,1,1,1,1,0,1
60,"Межрегиональная общественная организация ""Общество развития продуктивных инициатив"", тематическое отделение ""Территория передышки""",Пермь,1,1,1,1,0,1
61,"Пермская региональная общественная организация ""Солнечный круг""",Пермь,1,1,1,1,0,1
62,"Псковская региональная общественная благотворительная организация ""Росток""",Порхов Псковской области,1,1,1,1,0,1
63,"Автономная некоммерческая зоозащитная организация ""Шанс""",Псков,1,1,1,1,0,1
64,"Благотворительный фонд помощи детям ""Доброе дело""",Ростов-на-Дону,1,1,1,1,0,1
65,"Благотворительный фонд ""Я без мамы""",Ростов-на-Дону,1,1,1,1,0,1
66,"Ростовская региональная общественная организация инвалидов ""Центр лечебной педагогики и социальной терапии ""СВеЧа""",Ростов-на-Дону,1,1,1,1,0,1
67,"Региональная общественная организация волонтёров Самарской области ""Домик детства""",Самара,1,1,1,1,0,1
68,"Благотворительный фонд ""Радость жизни""",Южно-Сахалинск,1,1,1,1,0,1
69,Свердловская региональная общественная организация «Уральская палата защиты потребителей»,Екатеринбург,1,1,1,1,0,1
70,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,1,1,1,1,0,1
71,"Благотворительный детский фонд ""Мы вместе""",Екатеринбург,1,1,1,1,0,1
72,"Благотворительный фонд ""Надежная смена""",Москва,1,1,1,1,0,1
73,"Ассоциация лидеров бизнеса и образования ""Клуб ""Корифей""",Екатеринбург,1,1,1,1,0,1
74,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЭКОЛОГИЧЕСКИХ ПРОЕКТОВ И ПОМОЩИ НАСЕЛЕНИЮ ""СБЕРЕГИ ЖИЗНЬ""",ЕКАТЕРИНБУРГ,1,0,1,1,0,0
75,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ГРАЖДАНСКИХ ИНИЦИАТИВ И КРЕАТИВНЫХ ИНДУСТРИЙ ""ГОРОДСКИЕ ИНИЦИАТИВЫ""",Екатеринбург,1,1,1,1,0,1
76,"Благотворительный Фонд ""ПРЕОДОЛЕНИЕ""",Тамбов,1,1,1,1,0,1
77,"Благотворительный фонд ""ДОБРЫЙ МИР""",Тверь,1,1,1,1,0,1
78,"Благотворительный фонд ""Семь профессий""",Москва,1,1,1,1,0,1
79,"Автономная некоммерческая организация социальной помощи нуждающимся ""Другая медицина""",Челябинск,1,1,1,1,0,1
80,"Благотворительный фонд ""Поможем Таланту"" имени Ильи Севостьянова",Челябинск,1,1,1,1,0,1
81,"Челябинское региональное благотворительное общественное движение помощи онкобольным детям ""Искорка Фонд""",Челябинск,1,1,1,1,1,1
82,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ДОБРОЕ СЕРДЦЕ. ПРОЯВИ ДОБРОТУ СВОЕГО СЕРДЦА""",Магнитогорск,1,0,1,1,0,0
83,Частное учреждение Благотворительного фонда Металлург Центр социального обслуживания населения,Магнитогорск,1,1,1,1,0,1
84,"Автономная Некоммерческая Организация помощи животным ""Маленькая жизнь""",Магнитогорск,1,1,1,1,0,1
85,"Благотворительный фонд помощи семье и детям, находящихся в трудной жизненной ситуации ""Семья плюс""",Челябинск,1,1,1,1,0,1
86,"Благотворительный фонд ""Мы Рядом!""",Челябинск,1,1,1,1,0,1
87,Фонд развития Политехнического музея,Москва,1,1,1,1,1,1
88,"Благотворительный фонд Оксаны Федоровой ""Спешите делать добро!""",Москва,1,1,1,1,0,1
89,"ФОНД СОДЕЙСТВИЯ ПОВЫШЕНИЮ ОБРАЗОВАТЕЛЬНОГО И КУЛЬТУРНОГО УРОВНЯ ЖЕНЩИН, МОЛОДЕЖИ И ДЕТЕЙ ""ВОЛГА""",Москва,1,1,1,1,0,1
90,"Благотворительный фонд ""Арифметика добра""",Москва,1,1,1,1,1,1
91,"Благотворительный фонд ""Тепло сердец""",Москва,1,1,1,1,0,1
92,"Благотворительный фонд ""АиФ. Доброе сердце""",Москва,1,1,1,1,0,1
93,"Фонд поддержки социальных программ и инициатив ""Лавка радостей""",Москва,1,1,1,1,0,1
94,"Благотворительный фонд ""Национальный Фонд Поддержки Здоровья Женщин""",Москва,1,1,1,1,0,1
95,"Благотворительный фонд защиты животных ""Вирта""",Москва,1,1,1,1,0,1
96,Общественная организация защиты животных РусДог,Москва,1,1,1,1,0,1
97,"Фонд поддержки лиц с нарушением развития и интеллекта ""Лучшие друзья""",Москва,1,1,1,1,0,1
98,Благотворительный фонд помощи воспитанникам и выпускникам детских домов «Константа»,Тверь,1,1,1,1,0,1
99,Московская Школа Профессиональной Филантропии,Москва,1,1,1,1,0,1
100,"Некоммерческая организация ""Благотворительный фонд ""Даунсайд Ап""",Москва,1,1,1,1,1,1
101,"Благотворительный фонд ""Созидание""",Москва,1,1,1,1,0,1
102,"Благотворительный фонд ""Волонтеры в помощь детям-сиротам""",Москва,1,1,1,1,0,1
103,БФ Предание,Москва,1,1,1,1,0,1
104,Старшие Братья Старшие Сестры,Москва,1,1,1,1,0,1
105,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ НУЖДАЮЩИХСЯ ""7 ЖИЗНЕЙ""",Москва,1,0,1,1,0,0
106,"Благотворительный фонд ""Семейная в помощь""",Москва,1,1,1,1,0,1
107,"Благотворительный фонд ""Дети Марии""",Москва,1,1,1,1,0,1
108,"Благотворительный фонд ""Фонд продовольствия ""Русь""",Москва,1,1,1,1,0,1
109,"Благотворительный фонд в поддержку материнства ""Быть мамой""",Москва,1,1,1,1,0,1
110,"Благотворительный фонд ""Центр содействия еврейской жизни молодежи ""ГИЛЕЛЬ""",Москва,1,1,1,1,0,1
111,"Региональная общественная организация инвалидов ""Перспектива""",,1,1,1,1,0,1
112,"Региональный общественный благотворительный фонд содействия культурному и спортивному развитию детей и молодежи ""Дети Мира""",Москва,1,1,1,1,0,1
113,"Благотворительный фонд ""Иллюстрированные книжки для маленьких слепых детей""",Москва,1,1,1,1,0,1
114,"Благотворительный фонд ""Дети Наши""",Москва,1,1,1,1,0,1
115,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ФОНД ПОДДЕРЖКИ СЛЕПОГЛУХИХ ""СО-ЕДИНЕНИЕ""",Москва,1,1,1,1,0,1
116,"Благотворительный фонд ""Адели""",Москва,1,1,1,1,0,1
117,"Благотворительный фонд развития паллиативной помощи ""Детский паллиатив""",Москва,1,1,1,1,0,1
118,"Благотворительный фонд социальной помощи детям ""Расправь крылья!""",Москва,1,1,1,1,0,1
119,"Благотворительный фонд поддержки семьи, материнства и детства ""Женщины за жизнь""",Москва,1,1,1,1,0,1
120,"Благотворительный фонд ""Творческое объединение ""Круг""",Москва,1,1,1,1,0,1
121,"Благотворительный фонд помощи тяжелобольным детям ""Живи""",Москва,1,1,1,1,1,1
122,"ФОНД ПОМОЩИ ДЕТЯМ, СТРАДАЮЩИМ ТЯЖЕЛЫМИ ЗАБОЛЕВАНИЯМИ И ИХ СЕМЬЯМ, ДЕТЯМ СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ, А ТАКЖЕ ГРАЖДАНАМ, НАХОДЯЩИМСЯ В ТРУДНОЙ ЖИЗНЕННОЙ СИТУАЦИИ ""ВРЕМЯ""",Москва,1,0,1,1,0,0
123,"Благотворительный фонд помощи недоношенным детям ""Право на чудо""",Москва,1,1,1,1,1,1
124,"Межрегиональная общественная организация инвалидов ""Пилигрим""",Москва,1,1,1,1,0,1
125,"Благотворительный фонд помощи детям-сиротам ""Здесь и сейчас""",Москва,1,1,1,1,0,1
126,"Благотворительный фонд ""В твоих руках""",Москва,1,1,1,1,0,1
127,"Негосударственное образовательное частное учреждение ""Учебно-методический центр Всероссийского общества глухих""",Москва,1,1,1,1,0,1
128,Благотворительный фонд помощи людям с Боковым Амиотрофическим Склерозом и другими нейромышечными заболеваниями «Живи сейчас»,Москва,1,1,1,1,0,1
129,"Благотворительный фонд ""Возьми счастье в дом""",Москва,1,1,1,1,0,1
130,"Благотворительный фонд ""Разные дети""",Москва,1,1,1,1,0,1
131,"Благотворительный фонд ""Развитие творческих инициатив""",москва,1,1,1,1,0,1
132,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ МЕЖРЕГИОНАЛЬНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ В ПОДДЕРЖКУ ЛЮДЕЙ С МЕНТАЛЬНОЙ ИНВАЛИДНОСТЬЮ И ПСИХОФИЗИЧЕСКИМИ НАРУШЕНИЯМИ ""РАВНЫЕ ВОЗМОЖНОСТИ""",Москва,1,1,1,1,0,1
133,"Региональная общественная организация помощи детям с расстройствами аутистического спектра ""Контакт""",Москва,1,1,1,1,1,1
134,"Автономная некоммерческая организация дополнительного профессионального образования ""Институт развития семейного устройства""",Москва,1,1,1,1,1,1
135,"Благотворительный фонд помощи взрослым ""Живой""",Москва,1,1,1,1,0,1
136,"Благотворительный фонд помощи бездомным животным ""НИКА""",Москва,1,1,1,1,0,1
137,"Автономная некоммерческая организация ""Свято-Софийский социальный дом""",Москва,1,1,1,1,0,1
138,Благотворительный фонд социальной и информационной поддержки для детей после кохлеарной имплантации и с нарушением слуха «Мелодия жизни»,Москва,1,1,1,1,0,1
139,"Благотворительный фонд ""ПРАВМИР""",Москва,1,1,1,1,0,1
140,"Благотворительный фонд ""БлагоДА""",москва,1,1,1,1,1,1
141,"Благотворительный фонд ""Новая жизнь""",Москва,1,1,1,1,0,1
142,"Благотворительный фонд поддержки людей с тяжелыми нарушениями развития ""Близкие Другие""",Санкт-Петербург,1,1,1,1,0,1
143,Автономная некоммерческая организация помощи детям с тяжелыми заболеваниями «Ленздравклоун»,Санкт-Петербург,1,1,1,1,0,1
144,"Автономная некоммерческая организация ""Военно-патриотический центр ""Вымпел-Спб""",Санкт-Петербург,1,1,1,1,0,1
145,"Автономная некоммерческая организация оказания помощи людям с ментальными особенностями ""Аутсайдервиль""",Санкт-Петербург,1,1,1,1,0,1
146,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В ОБЛАСТИ РЕАБИЛИТАЦИИ ДЕТЕЙ С НАРУШЕНИЯМИ СЛУХА ""Я ТЕБЯ СЛЫШУ""",Санкт-Петербург,1,1,1,1,0,1
147,"Благотворительный фонд ""Твоя территория""",Санкт-Петербург,1,1,1,1,0,1
148,"Благотворительный фонд помощи нуждающимся детям ""Вера и надежда""",Санкт-Петербург,1,1,1,1,0,1
149,"Благотворительный фонд ""Теплый дом""",Санкт-Петербург,1,1,1,1,0,1
150,"Автономная некоммерческая организация ""Кукольный театр ""Виноград""",Санкт-Петербург,1,1,1,1,0,1
151,"Благотворительный Фонд ""Детский хоспис""",Санкт-Петербург,1,1,1,1,1,1
152,"Религиозная организация ""Католический благотворительный центр ""Каритас Санкт-Петербург""",Санкт-Петербург,1,1,1,1,0,1
153,"Автономная некоммерческая организация ""Центр развития инновационных социальных услуг ""Партнерство каждому ребенку""",Санкт-Петербург,1,1,1,1,0,1
154,"Благотворительный фонд ""Все все вместе""",Санкт-Петербург,1,1,1,1,0,1
155,Благотворительная организация Апельсин,Санкт-Петербург,1,1,1,1,0,1
156,"СПБОО ""ЕАСП""",Санкт-Петербург,1,1,1,1,0,1
157,"Благотворительный фонд ""Апрель""",Санкт-Петербург,1,1,1,1,0,1
